,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|14:27:34.000,34.00592,26.90841,29.35813,38.56705
2017-01-03|14:27:44.000,34.02208,27.06542,29.35651,38.58067
2017-01-03|14:27:54.000,34.05113,27.00326,29.35488,38.59429
2017-01-03|14:28:04.000,34.0746,26.94357,29.35326,38.61928
2017-01-03|14:28:14.000,34.06229,26.97318,29.35163,38.68132
2017-01-03|14:28:24.000,34.04889,26.99099,29.35001,38.83654
2017-01-03|14:28:34.000,34.0254,26.92018,29.37076,38.84555
2017-01-03|14:28:44.000,34.00513,26.98212,29.36461,38.81102
2017-01-03|14:28:54.000,34.01321,26.92978,29.35846,38.75948
2017-01-03|14:29:04.000,34.02129,27.00205,29.35232,38.71624
2017-01-03|14:29:14.000,34.0182,26.92084,29.3744,38.68804
2017-01-03|14:29:24.000,34.00384,27.06535,29.37017,38.69054
2017-01-03|14:29:34.000,33.97828,27.06174,29.36594,38.70348
2017-01-03|14:29:44.000,33.94786,27.01962,29.36171,38.7332
2017-01-03|14:29:54.000,33.98218,27.10417,29.35747,38.80431
2017-01-03|14:30:04.000,34.00977,27.085,29.35324,38.85222
2017-01-03|14:30:14.000,34.03075,27.02702,29.35088,38.9026
2017-01-03|14:30:24.000,34.04436,27.04751,29.35615,38.95059
2017-01-03|14:30:34.000,34.05796,27.11246,29.36142,39.01418
2017-01-03|14:30:44.000,34.07156,27.08952,29.36669,38.97435
2017-01-03|14:30:54.000,34.07061,27.01102,29.37196,38.92116
2017-01-03|14:31:04.000,34.05984,27.00359,29.3502,38.86287
2017-01-03|14:31:14.000,34.05437,27.03994,29.35201,38.81539
2017-01-03|14:31:24.000,34.07053,27.054,29.35381,38.76584
2017-01-03|14:31:34.000,34.03835,27.06956,29.35562,38.76777
2017-01-03|14:31:44.000,33.99101,27.10103,29.35742,38.77736
2017-01-03|14:31:54.000,33.97896,27.07504,29.35923,38.79779
2017-01-03|14:32:04.000,33.98788,27.07561,29.36103,38.83672
2017-01-03|14:32:14.000,33.99679,27.08628,29.36284,38.82727
2017-01-03|14:32:24.000,34.0195,27.04797,29.36464,38.81769
2017-01-03|14:32:28.000,34.04228,27.07384,29.36536,38.81385
2017-01-03|14:32:38.000,34.03464,27.03832,29.36717,38.85227
2017-01-03|14:32:48.000,34.00701,27.09163,29.36898,38.84555
2017-01-03|14:32:58.000,34.01197,27.04085,29.37078,38.81279
2017-01-03|14:33:08.000,34.02763,27.07323,29.37259,38.77658
2017-01-03|14:33:18.000,34.0433,27.08438,29.37439,38.73345
2017-01-03|14:33:28.000,34.05832,27.00337,29.36716,38.68164
2017-01-03|14:33:38.000,34.07268,27.00395,29.36121,38.66002
2017-01-03|14:33:48.000,34.09341,27.04505,29.35941,38.6894
2017-01-03|14:33:58.000,34.1249,27.08732,29.35431,38.71293
2017-01-03|14:34:08.000,34.12144,27.01545,29.36896,38.76933
2017-01-03|14:34:18.000,34.09683,27.05773,29.35218,38.82559
2017-01-03|14:34:28.000,34.0669,27.1,29.35553,38.87964
2017-01-03|14:34:38.000,34.02783,27.07572,29.35888,38.94867
2017-01-03|14:34:48.000,34.05067,27.02931,29.36224,39.00384
2017-01-03|14:34:58.000,34.04529,27.02462,29.36559,38.99242
2017-01-03|14:35:08.000,34.03991,27.09789,29.36894,38.88897
2017-01-03|14:35:18.000,34.03452,27.05453,29.3723,38.83704
2017-01-03|14:35:28.000,34.02914,27.11131,29.37565,38.81441
2017-01-03|14:35:38.000,34.00623,27.02164,29.36907,38.7919
2017-01-03|14:35:48.000,33.97376,27.11226,29.36148,38.74525
2017-01-03|14:35:58.000,33.98317,27.0654,29.35616,38.70177
2017-01-03|14:36:08.000,33.99275,27.08178,29.36715,38.68698
2017-01-03|14:36:18.000,33.99313,27.00327,29.37509,38.70547
2017-01-03|14:36:28.000,33.96952,27.01794,29.3513,38.72396
2017-01-03|14:36:38.000,33.92218,27.04039,29.35373,38.75893
2017-01-03|14:36:48.000,33.89621,27.0515,29.35617,38.8237
2017-01-03|14:36:58.000,33.92183,27.11257,29.3586,38.86889
2017-01-03|14:37:08.000,33.90765,27.0258,29.36104,38.87673
2017-01-03|14:37:18.000,33.89329,27.08365,29.36347,38.87029
2017-01-03|14:37:28.000,33.87893,27.02912,29.36591,38.83331
2017-01-03|14:37:38.000,33.93285,27.11021,29.36835,38.79389
2017-01-03|14:37:48.000,33.96489,27.11209,29.37078,38.76833
