Timestamp,U3_HNC10AA101XQ01,U3_HNC10AN001XQ01,U3_HNC10CF101,U3_HNC10CG101XQ01,U3_DPU56A105
0,45.9401,285.28223,4.33818,45.22039,4397.82275
1,46.01269,282.78885,4.26902,45.24074,4418.75586
2,46.11571,284.18655,4.29208,45.26109,4439.68896
3,46.15797,285.86386,4.32887,45.23018,4405.94092
4,46.22004,284.18842,4.3588,45.25785,4359.69336
5,46.19674,284.9892,4.3613,45.2375,4353.4541
6,46.17133,283.7439,4.33234,45.21714,4347.21533
7,46.18124,284.29858,4.32946,45.24887,4340.97607
8,46.11825,283.86594,4.31928,45.2363,4360.19482
9,46.05231,284.94763,4.33615,45.26143,4402.04346
10,46.02345,284.7356,4.28799,45.23362,4441.68848
11,45.90382,283.97089,4.33148,45.33665,4408.33057
12,45.85162,284.24649,4.33998,45.46516,4387.54883
13,45.79923,282.71194,4.31739,45.59369,4369.35791
14,46.46136,286.64264,4.35001,45.7222,4351.16748
15,48.02557,287.0239,4.35589,46.86537,4404.03125
16,48.49582,288.97446,4.3981,47.40367,4463.14697
17,48.64425,290.81885,4.42181,47.52759,4494.00098
18,48.81456,293.39005,4.38889,47.79466,4524.85498
19,48.9168,293.36063,4.44942,47.99615,4546.29932
20,49.1122,294.1337,4.44612,48.1537,4564.24414
21,49.32053,295.20151,4.38487,48.27579,4582.18896
22,49.35707,296.74414,4.4235,48.39789,4599.56348
23,49.26501,297.08374,4.45562,48.43256,4597.7168
24,49.31199,298.88651,4.50243,48.4156,4595.87012
25,49.33422,297.57816,4.50008,48.39864,4594.00537
26,49.38021,297.3168,4.45742,48.38566,4591.51953
27,49.35129,295.01346,4.45791,48.4563,4589.03369
28,49.32745,298.62604,4.50067,48.55804,4586.54834
29,49.32947,295.39688,4.45617,48.65979,4589.43848
30,49.42735,298.95752,4.47911,48.67308,4610.48975
31,49.49806,297.22855,4.48189,48.65339,4381.54102
32,49.60562,297.27878,4.48837,48.63369,4402.59229
33,49.63446,297.49069,4.50066,48.66124,4391.83398
